mysql,raspis00_test,pricing_to_route,currency,4,varchar,4,,,,
mysql,raspis00_test,reviews_to_company,name,3,varchar,255,,,,
mysql,raspis00_test,reviews_to_company,email,4,varchar,255,,,,
mysql,raspis00_test,reviews_to_company,comment,5,longtext,4294967295,,,,
mysql,raspis00_test,routes,transit_path,4,longtext,4294967295,,,,
mysql,raspis00_test,routes,regularity,6,text,65535,,,,
mysql,raspis00_test,seo_info,title,3,varchar,255,,,,
mysql,raspis00_test,seo_info,description,4,longtext,4294967295,,,,
mysql,raspis00_test,seo_info,name,5,varchar,255,,,,
mysql,raspis00_test,seo_info,before_route,6,longtext,4294967295,,,,
mysql,raspis00_test,seo_info,menu_title,7,varchar,255,,,,
mysql,raspis00_test,site_langs,lang_code,2,varchar,255,,,,
mysql,raspis00_test,states,latin_name,2,varchar,255,,,,
mysql,raspis00_test,states,national_name,3,varchar,255,,,,
mysql,raspis00_test,states,cyr_name,4,varchar,255,,,,
mysql,raspis00_test,static_content,title,2,varchar,200,,,,
mysql,raspis00_test,static_content,head_,3,varchar,400,,,,
mysql,raspis00_test,static_content,content_title,4,varchar,200,,,,
mysql,raspis00_test,static_content,content,5,mediumtext,16777215,,,,
mysql,raspis00_test,static_content,body_,6,varchar,200,,,,
mysql,raspis00_test,static_content,footer_,7,varchar,400,,,,
mysql,raspis00_test,stations,is_intermediated,2,smallint,,,,,
mysql,raspis00_test,stations,cyr_name,4,varchar,255,,,,
mysql,raspis00_test,stations,latin_name,5,varchar,255,,,,
mysql,raspis00_test,stations,national_name,6,varchar,255,,,,
mysql,raspis00_test,stations,desc_for_own,7,varchar,50,,,,
mysql,raspis00_test,stations,tel,8,varchar,255,,,,
mysql,raspis00_test,stations,translated_info_cached,9,longtext,4294967295,,,,
mysql,raspis00_test,stations_translations,name,3,varchar,255,,,,
mysql,raspis00_test,stations_translations,description,4,longtext,4294967295,,,,
mysql,raspis00_test,transit_routes,arrival,4,time,,,,,
mysql,raspis00_test,transit_routes,departure,5,time,,,,,
mysql,raspis00_test,translations_common,key,2,varchar,255,,,,
mysql,raspis00_test,translations_common,description,4,longtext,4294967295,,,,
mysql,raspis00_test,uni_page,url,2,varchar,500,,,,
mysql,raspis00_test,uni_page,module_name,3,varchar,50,,,,
mysql,raspis00_test,uni_page,has_permanent_uri,4,tinyint,,,,,
mysql,raspis00_test,users,login,2,varchar,50,,,,
mysql,raspis00_test,users,password,3,varchar,50,,,,
mysql,raspis00_test,users,name,4,varchar,50,,,,
mysql,raspis00_test,users,l_name,5,varchar,50,,,,
